CLASS	# of mem	avg age	avg p-value
hsa-mir-4283	2	0.00	4.5200e-02
hsa-mir-3914	2	1.50	7.7900e-02
hsa-mir-10	2	10.50	2.1200e-02
hsa-mir-15	2	12.00	5.0000e-03
hsa-mir-16	2	10.50	1.9500e-02
hsa-mir-19	3	11.33	1.9000e-03
hsa-mir-18	2	13.00	2.9000e-03
hsa-mir-3160	2	0.00	4.8500e-02
hsa-mir-99	2	10.00	1.6400e-02
hsa-mir-153	3	11.33	9.0000e-04
hsa-mir-92	3	9.33	8.3000e-03
hsa-mir-323	2	4.50	8.3700e-02
hsa-mir-526	3	1.67	4.2300e-02
hsa-mir-520	8	2.12	1.0800e-02
hsa-mir-521	3	2.67	2.2000e-02
hsa-mir-523	2	1.00	9.1200e-02
hsa-mir-329	3	5.00	3.2700e-02
hsa-mir-548	40	0.38	0.0000e+00
hsa-mir-3179	3	0.67	3.2800e-02
hsa-mir-26	3	8.33	1.4800e-02
hsa-mir-27	2	11.50	8.5000e-03
hsa-mir-20	2	11.00	9.2000e-03
hsa-mir-1302	10	0.70	1.0000e-04
hsa-mir-23	3	7.33	2.5000e-02
hsa-mir-29	4	11.50	1.0000e-04
hsa-mir-146	2	9.50	1.3200e-02
hsa-mir-518	8	1.38	2.7000e-03
hsa-mir-3074	2	9.50	1.2200e-02
hsa-mir-511	3	3.67	6.9400e-02
hsa-mir-513	5	2.40	2.5100e-02
hsa-mir-512	3	2.33	1.9400e-02
hsa-mir-515	2	2.00	6.3200e-02
hsa-mir-514	4	1.75	1.9300e-02
hsa-mir-517	4	1.50	2.4300e-02
hsa-mir-516	4	2.00	1.7200e-02
hsa-mir-450	3	6.67	3.7800e-02
hsa-mir-454	2	10.50	1.9700e-02
hsa-mir-449	3	8.33	1.5400e-02
hsa-mir-891	2	2.00	6.2100e-02
hsa-mir-892	3	3.00	3.6200e-02
hsa-mir-148	2	10.50	1.8800e-02
hsa-mir-1270	2	0.50	4.3500e-02
hsa-mir-1273	4	1.00	2.2100e-02
hsa-mir-1274	2	2.00	6.9200e-02
hsa-mir-3180	5	0.00	5.0000e-04
hsa-mir-664	2	3.50	8.7000e-03
hsa-mir-663	2	2.00	6.1400e-02
hsa-mir-509	4	2.00	1.7500e-02
hsa-mir-500	2	4.00	4.3400e-02
hsa-mir-133	3	12.00	1.1000e-03
hsa-mir-130	2	12.00	6.5000e-03
hsa-mir-135	3	10.33	4.4000e-03
hsa-mir-138	2	11.00	9.8000e-03
hsa-mir-1260	2	5.50	8.5400e-02
hsa-mir-941	4	0.00	1.9000e-03
