CLASS	# of mem	std of age	std p-value
hsa-mir-16	2	1.50	6.6600e-02
hsa-mir-19	3	2.49	6.2000e-03
hsa-mir-18	2	1.00	1.2750e-01
hsa-mir-3160	2	0.00	1.4060e-01
hsa-mir-99	2	2.00	3.1800e-02
hsa-mir-153	3	1.89	7.4000e-03
hsa-mir-92	3	1.89	7.2000e-03
hsa-mir-323	2	4.50	8.3200e-02
hsa-mir-526	3	0.94	6.2700e-02
hsa-mir-520	8	0.33	0.0000e+00
hsa-mir-521	3	0.47	6.2300e-02
hsa-mir-523	2	1.00	1.2710e-01
hsa-mir-329	3	2.83	2.4100e-02
hsa-mir-548	40	0.73	0.0000e+00
hsa-mir-3179	3	0.94	6.2800e-02
hsa-mir-26	3	0.47	6.3600e-02
hsa-mir-27	2	2.50	3.7900e-02
hsa-mir-20	2	3.00	6.9700e-02
hsa-mir-1302	10	0.64	0.0000e+00
hsa-mir-23	3	4.64	9.1000e-03
hsa-mir-29	4	0.87	1.5900e-02
hsa-mir-146	2	0.50	1.5950e-01
hsa-mir-518	8	1.11	1.1000e-03
hsa-mir-3074	2	2.50	3.8700e-02
hsa-mir-511	3	2.36	1.0200e-02
hsa-mir-513	5	0.49	3.7000e-03
hsa-mir-512	3	0.47	6.7300e-02
hsa-mir-515	2	0.00	1.2710e-01
hsa-mir-514	4	1.09	1.2400e-02
hsa-mir-517	4	0.87	1.5600e-02
hsa-mir-516	4	0.00	2.7000e-03
hsa-mir-450	3	2.62	2.5600e-02
hsa-mir-454	2	0.50	1.5700e-01
hsa-mir-449	3	0.47	6.8300e-02
hsa-mir-891	2	0.00	1.3250e-01
hsa-mir-892	3	0.00	2.1100e-02
hsa-mir-148	2	1.50	6.5200e-02
hsa-mir-1270	2	0.50	1.5920e-01
hsa-mir-1273	4	1.73	1.0000e-03
hsa-mir-1274	2	0.00	1.3720e-01
hsa-mir-3180	5	0.00	1.0000e-03
hsa-mir-664	2	0.50	1.6750e-01
hsa-mir-663	2	1.00	1.2120e-01
hsa-mir-509	4	1.22	1.0100e-02
hsa-mir-500	2	4.00	8.5400e-02
hsa-mir-133	3	2.83	2.6600e-02
hsa-mir-130	2	2.00	3.1000e-02
hsa-mir-135	3	1.25	4.1000e-02
hsa-mir-138	2	1.00	1.3310e-01
hsa-mir-1260	2	3.50	8.6100e-02
hsa-mir-941	4	0.00	3.8000e-03
